533	176	189
534	176	194
535	176	202
536	176	249
537	176	251
538	176	256
539	176	267
540	176	306
541	177	175
542	177	179
543	177	183
544	177	185
545	177	187
546	177	190
547	177	213
548	177	250
549	177	255
550	177	258
551	177	264
552	177	309
553	178	175
554	178	179
555	178	180
556	178	181
557	178	186
558	178	188
559	178	252
560	178	253
561	178	254
562	179	177
563	179	178
564	179	184
565	179	186
566	179	190
567	179	193
568	179	200
569	179	205
570	179	254
571	179	258
572	179	265
573	179	271
574	179	324
575	180	176
576	180	178
577	180	184
578	180	188
579	180	192
580	180	196
581	180	211
582	180	253
583	180	261
584	180	267
585	180	283
586	180	314
587	181	175
588	181	178
589	181	190
590	181	199
591	181	252
592	181	257
593	181	259
594	182	175
595	182	176
596	182	187
597	182	188
598	182	197
599	182	199
600	182	201
601	182	215
602	182	226
603	182	249
604	182	262
605	182	268
606	182	281
607	182	334
608	183	175
609	183	177
610	183	186
611	183	189
612	183	191
613	183	197
614	183	206
615	183	250
616	183	263
617	183	272
618	183	284
619	183	342
620	184	179
621	184	180
622	184	193
623	184	196
624	184	198
625	184	208
626	184	235
627	184	261
628	184	265
629	184	270
630	184	271
631	184	283
632	184	344
633	185	177
634	185	191
635	185	200
636	185	210
637	185	213
638	185	266
639	185	276
640	185	293
641	185	295
642	185	309
643	186	178
644	186	179
645	186	183
646	186	196
647	186	203
648	186	219
649	186	236
650	186	254
651	186	269
652	186	284
653	186	297
654	186	367
655	187	177
656	187	182
657	187	193
658	187	197
659	187	214
660	187	232
661	187	255
662	187	262
663	187	264
664	187	281
665	187	302
666	187	375
667	188	178
668	188	180
669	188	182
670	188	193
671	188	199
672	188	203
673	188	207
674	188	222
675	188	253
676	188	268
677	188	286
678	188	353
679	189	176
680	189	183
681	189	196
682	189	197
683	189	204
684	189	209
685	189	218
686	189	233
687	189	251
688	189	256
689	189	263
690	189	272
691	189	289
692	189	376
693	190	177
694	190	179
695	190	181
696	190	198
697	190	210
698	190	214
699	190	230
700	190	258
701	190	259
702	190	277
703	190	301
704	190	351
705	191	183
706	191	185
707	191	206
708	191	209
709	191	221
710	191	227
711	191	266
712	191	291
713	191	327
714	191	328
715	191	342
716	192	180
717	192	207
718	192	208
719	192	211
720	192	216
721	192	223
722	192	279
723	192	290
724	192	307
725	192	314
726	192	336
727	193	179
728	193	184
729	193	187
730	193	188
731	193	203
732	193	214
733	193	225
734	193	238
735	193	245
736	193	265
737	193	271
738	193	286
739	193	302
740	193	389
741	194	176
742	194	202
743	194	211
744	194	212
745	194	215
746	194	218
747	194	273
748	194	296
749	194	306
750	194	343
751	195	175
752	195	202
753	195	213
754	195	226
755	195	287
756	195	298
757	195	320
758	196	180
759	196	184
760	196	186
761	196	189
762	196	203
763	196	204
764	196	223
765	196	241
766	196	261
767	196	269
768	196	283
769	196	289
770	196	297
771	196	390
772	197	182
773	197	183
774	197	187
775	197	189
776	197	203
777	197	217
778	197	221
779	197	239
780	197	262
781	197	263
782	197	272
783	197	281
784	197	321
785	197	398
786	198	184
787	198	190
788	198	204
789	198	214
790	198	224
791	198	231
792	198	240
793	198	270
794	198	275
795	198	277
796	198	301
797	198	304
798	198	399
799	199	181
800	199	182
801	199	188
802	199	214
803	199	217
804	199	220
805	199	242
806	199	257
807	199	268
808	199	305
809	199	316
810	199	394
811	200	179
812	200	185
813	200	205
814	200	208
815	200	210
816	200	225
817	200	278
818	200	295
819	200	303
820	200	324
821	200	329
822	201	182
823	201	207
824	201	215
825	201	220
826	201	221
827	201	226
828	201	260
829	201	299
830	201	330
831	201	334
832	201	337
833	202	176
834	202	194
835	202	195
836	202	226
837	202	228
838	202	233
839	202	237
840	202	298
841	202	306
842	202	338
843	202	358
844	202	377
845	203	186
846	203	188
847	203	193
848	203	196
849	203	197
850	203	217
851	203	234
852	203	269
853	203	286
854	203	297
855	203	321
856	203	412
857	204	189
858	204	196
859	204	198
860	204	217
861	204	275
862	204	289
863	204	304
864	204	318
865	204	413
866	205	179
867	205	200
868	205	219
869	205	238
870	205	308
871	205	315
872	205	324
873	205	335
874	205	369
875	206	183
876	206	191
877	206	218
878	206	219
879	206	229
880	206	280
881	206	339
882	206	342
883	206	348
884	206	352
885	207	188
886	207	192
887	207	201
888	207	220
889	207	222
890	207	225
891	207	234
892	207	279
893	207	330
894	207	353
895	208	184
896	208	192
897	208	200
898	208	223
899	208	224
900	208	225
901	208	235
902	208	303
903	208	307
904	208	325
905	208	329
906	208	336
907	208	344
908	209	189
909	209	191
910	209	218
911	209	221
912	209	223
913	209	233
914	209	274
915	209	291
916	209	311
917	209	328
918	209	360
919	209	376
920	210	185
921	210	190
922	210	200
923	210	224
924	210	227
925	210	230
926	210	295
927	210	310
928	210	319
929	210	345
930	210	351
931	211	180
932	211	192
933	211	194
934	211	222
935	211	294
936	211	314
937	211	370
938	212	194
939	212	218
940	212	228
941	212	231
942	212	288
943	212	296
944	212	300
945	212	317
946	212	340
947	212	343
948	212	354
949	213	177
950	213	185
951	213	195
952	213	228
953	213	230
954	213	232
955	213	287
956	213	309
957	213	322
958	213	350
959	213	362
960	214	187
961	214	190
962	214	193
963	214	198
964	214	199
965	214	217
966	214	247
967	214	277
968	214	301
969	214	302
970	214	305
971	214	316
972	214	409
