0	11808	165
1	12096	178
2	12192	420
3	12192	872
4	11808	750
5	2976	804
6	12192	1775
7	12192	2314
8	11808	2277
9	11808	2539
10	2976	5583
11	11617	85
12	11617	612
13	12097	1775
14	10657	914
15	12193	6276
16	6049	776
17	11041	566
18	11041	709
19	11041	1700
20	11041	2374
21	12194	240
22	12194	690
23	9121	6965
24	12194	3359
25	10658	376
26	10658	434
27	10658	577
28	10658	920
29	10658	971
30	2978	223
31	10658	1105
32	2978	429
33	2978	461
34	2978	1734
35	10658	3408
36	9122	1048
37	9122	1547
38	12195	508
39	12195	531
40	12195	803
41	12195	920
42	12195	1616
43	11619	1416
44	11619	1778
45	2979	42
46	11619	5528
47	6051	1080
48	12003	237
49	9123	1870
50	12003	902
51	9123	2522
52	9123	2853
53	6051	3891
54	9123	4514
55	12003	3917
56	12003	4346
57	2979	9007
58	11043	6797
59	10660	1312
60	12003	8904
61	12100	210
62	12100	420
63	12100	429
64	12100	539
65	12100	891
66	12100	1123
67	12100	1198
68	12100	1263
69	12100	2307
70	12004	224
71	12100	3644
72	12004	1123
73	12100	4826
74	11812	468
75	11812	629
76	11812	1489
77	12100	7163
78	9892	227
79	11044	5509
80	9892	2069
81	9892	2691
82	11621	3917
83	11812	8519
84	11428	914
85	11908	7531
86	2981	163
87	2981	735
88	2981	804
89	2981	833
90	6053	2153
91	2981	2409
92	11428	4003
93	11813	1244
94	9125	584
95	11622	1920
96	12198	247
97	12198	543
98	12198	844
99	11429	19
100	11429	273
101	11429	1151
102	11429	1272
103	12198	3008
104	11909	6687
105	2982	1036
106	2982	2510
107	6054	1104
108	11814	1791
109	9126	223
110	9126	224
111	9126	429
112	9126	489
113	9126	508
114	9126	803
115	9126	1123
116	2982	6526
117	12006	2435
118	6054	4544
119	9126	3320
120	9126	3518
121	11910	420
122	2982	9649
123	11910	817
124	9126	6737
125	10663	323
126	10663	1380
127	11430	759
128	9894	3917
129	11430	2111
130	6055	438
131	6055	468
132	12199	4778
133	10663	6603
134	9894	9478
135	12007	446
136	12007	562
137	12007	637
138	12007	1035
139	12007	1510
140	12007	1674
141	12199	8218
142	12007	2553
143	6055	9079
144	6055	9230
145	11047	279
146	11624	438
147	11624	447
148	11047	564
149	11624	822
150	6056	234
151	6056	539
152	11047	8570
153	9128	152
154	9128	187
155	12104	780
156	12104	815
157	11047	10861
158	11625	284
159	9896	2542
160	6057	468
161	6057	1148
162	9896	4281
163	11625	6346
164	9896	8182
165	12009	130
166	12009	247
167	12009	286
168	12009	325
169	12009	805
170	12009	1056
171	12009	1288
172	12009	1439
173	12105	1578
174	10665	6940
175	12009	2466
176	11817	804
177	11817	2161
178	11817	2522
179	11049	87
180	11049	446
181	11433	320
182	11433	550
183	11913	63
184	11913	175
185	11049	3401
186	10666	3107
187	10666	3119
188	10666	3244
189	10666	3327
190	10666	3332
191	12202	181
192	12202	506
193	12009	11946
194	11818	301
195	10666	7131
196	10666	7317
197	10666	7513
198	10666	8925
199	10666	9332
200	11818	2548
201	11627	506
202	11433	11954
203	11627	612
204	10666	10435
205	10666	10720
206	11913	10126
207	10666	11775
208	11050	299
209	11050	479
210	10667	468
211	10667	495
212	11050	1206
213	11818	5530
214	10667	822
215	11913	12187
216	11914	506
217	11914	1105
218	10667	2301
219	11818	7391
220	12202	11677
221	12202	11937
222	11050	7250
223	6059	3973
224	2987	1064
225	11628	278
226	12011	230
227	11628	1275
228	12011	908
229	11628	2245
230	11915	42
231	11915	450
232	11915	596
233	11915	2178
234	2988	854
235	12011	11091
236	2988	1502
237	9132	187
238	9132	1048
239	2988	3040
240	2988	3604
241	2988	3948
242	9132	2581
243	11820	627
244	11820	745
245	11820	759
246	2988	5448
247	2988	5469
248	2988	6164
249	9132	4174
250	2988	6431
251	11916	183
252	11820	1845
253	11820	2329
254	2988	7706
255	11629	2536
256	2988	8555
257	11820	3623
258	2988	9025
259	11916	2441
260	2988	9186
261	2988	9214
262	2988	9333
263	12204	5878
264	2988	9911
265	10669	217
266	10669	284
267	2988	10386
268	2988	10807
269	12012	7141
270	2988	11721
271	10669	2100
272	10669	2140
273	9132	9941
274	10669	2853
275	12012	9367
276	2989	2823
277	2989	3924
278	2989	3943
279	9133	231
280	9133	279
281	6061	309
282	2989	6311
283	2989	6772
284	2989	6865
285	2989	8078
286	2989	8106
287	10669	8374
288	12205	512
289	2989	9014
290	12013	2293
291	12013	2515
292	2989	9500
293	2989	10092
294	2989	10162
295	2989	11261
296	2990	119
297	2990	130
298	2990	438
299	11053	1259
300	2990	1249
301	12109	531
302	9133	11790
303	11630	6809
304	11630	9532
305	12014	19
306	12014	273
307	12014	1151
308	6062	1039
309	9902	951
310	9902	1123
311	12110	2617
312	12110	2835
313	6062	9762
314	12014	10768
315	9135	1252
316	9135	1356
317	9135	1503
318	9135	2908
319	6063	2324
320	12207	2127
321	12207	2223
322	12207	3241
323	6063	7888
324	11919	724
325	6063	9484
326	11438	11363
327	11439	766
328	11439	3812
329	2992	8056
330	9136	7095
331	9904	335
332	9904	709
333	9904	1389
334	9904	1700
335	9904	2374
336	12112	290
337	12112	349
338	9904	3623
339	6065	152
340	6065	187
341	6065	1159
342	9904	8385
343	2993	6489
344	9904	9291
345	11056	8576
346	12209	223
347	12209	279
348	11825	578
349	11825	967
350	11825	1097
351	2994	227
352	2994	479
353	2994	1188
354	11057	42
355	11057	146
356	11057	379
357	11057	1410
358	6066	822
359	11825	4850
360	6066	1737
361	11441	1149
362	6066	3069
363	11634	6315
364	12209	10884
365	11826	1102
366	11826	4850
367	11826	5419
368	12210	4317
369	11635	665
370	11635	3578
371	6067	6362
372	9139	74
373	9139	146
374	9139	279
375	12210	9345
376	9139	804
377	9139	3896
378	2996	3376
379	6068	18
380	6068	356
381	6068	362
382	6068	591
383	6068	1468
384	11059	0
385	11059	1
386	2996	9959
387	11443	5162
388	11828	1358
389	9907	11454
390	11828	2617
391	6069	2312
392	6069	2409
393	11828	7337
394	11443	12131
395	11444	740
396	2997	10616
397	11444	3790
398	6070	197
399	6070	464
400	6070	870
401	11829	5416
402	11061	1355
403	2998	4003
404	12213	95
405	12213	1552
406	12117	2677
407	11062	914
408	2999	95
409	11062	2027
410	9142	6034
411	2999	1123
412	6071	2909
413	6071	3667
414	12022	224
415	12022	429
416	2999	3790
417	11830	8165
418	12118	246
419	12022	3612
420	12118	1254
421	6071	9281
422	11926	4449
423	11831	130
424	11831	278
425	11831	1036
426	11831	1380
427	9910	6953
428	11831	1967
429	12119	483
430	3000	4307
431	9911	665
432	3000	5332
433	9911	1198
434	9911	1339
435	9911	2988
436	11927	3999
437	11640	121
438	11640	356
439	11640	536
440	11640	3228
441	12023	9539
442	11447	2392
443	11064	1510
444	12215	5233
445	11064	2301
446	12215	5530
447	9912	566
448	9912	2392
449	3001	6427
450	11928	468
451	11641	290
452	11641	1097
453	11833	619
454	11641	1770
455	11641	2108
456	3001	10232
457	11928	5133
458	11833	2835
459	11065	539
460	12216	748
461	3002	273
462	3002	431
463	11065	2441
464	10680	7881
465	12025	324
466	12025	754
467	9912	11718
468	9913	47
469	9913	401
470	11929	138
471	11929	704
472	11929	1355
473	12121	3623
474	11834	508
475	11834	532
476	11834	787
477	11834	2100
478	11834	2879
479	11449	19
480	11929	6281
481	11449	187
482	11929	6884
483	11066	2879
484	3003	417
485	3003	420
486	3003	431
487	11929	7426
488	3003	619
489	3003	681
490	11449	3056
491	3003	2307
492	11834	6884
493	3003	3320
494	12217	4210
495	11066	7546
496	11066	7702
497	12025	11527
498	6075	231
499	6075	450
500	11930	894
501	12026	498
502	12026	1123
503	3004	162
504	3004	187
505	3004	234
506	3004	907
507	3004	2021
508	6075	10932
509	11931	85
510	6076	1517
511	11931	1339
512	11931	4375
513	11836	766
514	9147	130
515	9147	286
516	9147	550
517	3005	230
518	9147	1148
519	11644	1097
520	3005	2964
521	10683	5901
522	11644	8374
523	3006	1614
524	11069	898
525	11069	1588
526	11933	196
527	11933	442
528	9148	9715
529	9917	108
530	9917	671
531	9917	1647
532	12125	611
533	6078	737
534	6078	1115
535	11646	41
536	6078	2575
537	11933	7585
538	3007	3641
539	3007	7336
540	3007	9725
541	3007	12081
542	3008	475
543	3008	2762
544	3008	4355
545	3008	5783
546	3008	6925
547	3008	7041
548	3008	7941
